#{"t_start": 1766930957.4524403, "env_id": "None"}
r,l,t
3.0,21,36.381963
1.0,18,36.423838
0.0,20,36.463144
-4.0,20,36.504008
-4.0,18,36.542625
-2.0,18,36.582093
2.0,18,36.622171
-1.0,18,36.663788
-4.0,19,36.708076
-1.0,20,36.750643
1.0,18,36.78681
-1.0,19,37.342894
0.0,18,37.372509
-4.0,18,37.418104
3.0,21,37.461019
4.0,18,37.493129
-1.0,23,37.548794
1.0,18,37.582222
4.0,18,37.622373
0.0,18,37.658189
1.0,18,37.698003
0.0,21,37.744249
-1.0,18,37.784272
0.0,18,37.82221
5.0,18,37.85948
4.0,18,38.406433
0.0,21,38.452845
-2.0,22,38.495443
-1.0,18,38.532097
0.0,18,38.57223
-1.0,18,38.608023
-1.0,20,38.63902
-1.0,18,38.688021
-4.0,18,38.727409
1.0,21,38.772318
4.0,19,38.808007
1.0,18,38.844415
-2.0,21,38.889212
1.0,18,39.436394
-3.0,23,39.482255
1.0,20,39.525904
2.0,18,39.561997
4.0,18,39.595561
0.0,18,39.637092
-3.0,18,39.67216
-1.0,18,39.707985
3.0,19,39.754247
-1.0,18,39.793545
0.0,18,39.83211
4.0,22,39.876521
4.0,25,39.922981
1.0,18,40.472379
-4.0,18,40.511337
-4.0,18,40.542803
4.0,18,40.589764
4.0,22,40.631969
0.0,18,40.673125
-4.0,18,40.708073
0.0,18,40.747332
4.0,21,40.793483
-2.0,18,40.831505
-4.0,18,40.867884
-5.0,18,40.893222
0.0,18,40.942776
-4.0,18,40.981322
3.0,18,41.544116
1.0,19,41.58211
0.0,18,41.620152
-1.0,18,41.658205
0.0,19,41.689224
1.0,18,41.731357
-4.0,19,41.77125
4.0,18,41.808397
-4.0,18,41.846208
0.0,20,41.889199
0.0,20,41.924218
2.0,18,41.958134
-3.0,22,42.00858
0.0,19,42.052735
4.0,20,42.601906
1.0,18,42.639617
-3.0,18,42.680732
-4.0,18,42.70911
0.0,20,42.760517
-3.0,21,42.803436
0.0,18,42.839397
4.0,22,42.886771
-1.0,18,42.922342
4.0,20,42.958218
1.0,18,43.004975
2.0,22,43.051843
0.0,22,43.09187
0.0,18,43.63966
1.0,20,43.689191
-2.0,20,43.735615
1.0,19,43.776512
3.0,18,43.814593
1.0,20,43.84672
-3.0,21,43.893834
2.0,18,43.931305
3.0,19,43.968121
-2.0,19,44.009695
5.0,18,44.049276
-4.0,18,44.085328
0.0,23,44.132779
-5.0,18,44.672495
-1.0,20,44.717652
-1.0,20,44.759426
-6.0,21,44.800672
2.0,20,44.841334
1.0,20,44.882151
-4.0,18,44.922295
6.0,20,44.958122
-4.0,18,44.999331
0.0,18,45.042523
-4.0,18,45.078521
0.0,21,45.122521
-2.0,18,45.158213
-4.0,18,45.191803
-1.0,20,45.746292
-5.0,18,45.787687
-4.0,18,45.822392
1.0,18,45.858002
4.0,21,45.905094
0.0,18,45.941833
1.0,18,45.981221
-1.0,18,46.016085
2.0,21,46.062792
0.0,18,46.10253
4.0,22,46.149517
5.0,20,46.191581
1.0,21,46.239127
-4.0,20,46.798838
4.0,21,46.841768
3.0,18,46.880677
-1.0,18,46.917946
0.0,20,46.958236
0.0,20,46.999754
-6.0,20,47.045725
1.0,18,47.08474
-3.0,18,47.119591
-2.0,18,47.15841
4.0,18,47.18895
-2.0,18,47.232177
-2.0,18,47.267937
3.0,21,47.822181
1.0,20,47.863192
0.0,18,47.894894
0.0,18,47.939292
-2.0,21,47.982138
2.0,21,48.028998
4.0,18,48.068274
0.0,18,48.093814
-2.0,18,48.140903
4.0,18,48.182292
-2.0,18,48.219082
-2.0,18,48.250543
1.0,18,48.292376
4.0,19,48.33215
4.0,18,48.858464
3.0,18,48.896916
-4.0,18,48.936702
-1.0,18,48.973963
0.0,20,49.017854
0.0,18,49.056283
-4.0,21,49.094233
1.0,18,49.139292
0.0,20,49.18052
5.0,25,49.232053
1.0,18,49.267962
-2.0,18,49.308373
0.0,18,49.341647
0.0,18,49.895367
-1.0,20,49.943118
0.0,20,49.989012
6.0,18,50.028958
-1.0,18,50.064327
-4.0,19,50.104827
0.0,19,50.141319
2.0,18,50.181984
-4.0,18,50.220427
1.0,20,50.260409
-2.0,18,50.300215
-5.0,18,50.338991
-3.0,18,50.384296
4.0,20,50.426648
-3.0,18,51.008194
1.0,18,51.046993
-4.0,19,51.088376
-4.0,20,51.129399
-1.0,18,51.165462
-3.0,18,51.205004
-4.0,18,51.241585
-4.0,19,51.282352
0.0,18,51.322181
3.0,18,51.363377
-4.0,18,51.402907
-4.0,18,51.441789
1.0,18,51.472092
-4.0,18,51.514895
4.0,20,52.080653
-1.0,19,52.118034
-5.0,20,52.158238
0.0,21,52.200327
-1.0,19,52.242898
-4.0,18,52.285541
3.0,18,52.322196
4.0,20,52.358431
-2.0,20,52.408231
-3.0,18,52.447356
-4.0,18,52.481945
0.0,20,52.522154
-1.0,18,52.558017
2.0,18,53.118695
1.0,18,53.152276
-3.0,20,53.192901
-4.0,19,53.23191
1.0,18,53.272054
-2.0,18,53.308336
-4.0,18,53.342788
-4.0,18,53.386322
3.0,19,53.42617
-3.0,18,53.458405
6.0,18,53.496309
-4.0,20,53.539203
-2.0,22,53.589216
3.0,18,53.62565
1.0,18,54.186115
-1.0,18,54.222704
-4.0,18,54.258108
2.0,19,54.303889
4.0,18,54.339325
-2.0,20,54.382363
-4.0,19,54.420955
-2.0,20,54.458305
4.0,18,54.492029
3.0,20,54.539277
-3.0,18,54.572373
2.0,18,54.608235
-4.0,18,54.645345
4.0,20,54.689332
4.0,19,55.239214
2.0,18,55.272416
-1.0,18,55.308046
2.0,18,55.34972
0.0,18,55.391098
-6.0,18,55.427159
-4.0,18,55.460245
0.0,18,55.502794
3.0,20,55.543848
-2.0,19,55.58198
4.0,22,55.628332
0.0,18,55.667894
-3.0,18,55.706919
1.0,20,56.258366
-2.0,18,56.28942
-2.0,18,56.335286
2.0,18,56.372353
-4.0,19,56.417026
3.0,18,56.454448
-1.0,18,56.489204
-3.0,18,56.522069
1.0,18,56.558077
-4.0,18,56.60024
3.0,18,56.63911
2.0,18,56.672414
0.0,19,56.711409
3.0,18,56.758258
-4.0,18,56.796561
4.0,22,57.339085
1.0,18,57.387561
-4.0,18,57.425559
0.0,19,57.45859
4.0,20,57.50611
5.0,25,57.552096
0.0,28,57.607969
-2.0,19,57.648851
-4.0,18,57.689062
-1.0,18,57.726103
-4.0,18,57.766495
4.0,18,57.804262
-4.0,21,58.365565
5.0,20,58.408322
2.0,20,58.450698
1.0,18,58.483005
-2.0,20,58.522321
3.0,18,58.55835
3.0,21,58.602411
2.0,25,58.658456
-3.0,18,58.693848
0.0,22,58.746169
-2.0,18,58.785494
-4.0,18,58.822116
1.0,18,58.860647
-3.0,21,59.416431
-4.0,19,59.458791
0.0,20,59.489752
4.0,18,59.536882
4.0,23,59.58429
2.0,18,59.619414
-2.0,18,59.658122
-2.0,18,59.694136
5.0,23,59.746981
2.0,20,59.789259
2.0,18,59.822173
0.0,20,59.868263
4.0,20,59.908214
-2.0,18,60.461186
2.0,18,60.497653
1.0,18,60.536806
-7.0,22,60.583762
4.0,22,60.625717
4.0,19,60.66769
3.0,18,60.694151
-4.0,21,60.748137
3.0,19,60.787891
-2.0,20,60.830493
-3.0,18,60.867929
-4.0,18,60.89985
1.0,18,60.941732
-2.0,18,60.978431
-5.0,18,61.524954
1.0,20,61.558401
0.0,22,61.608069
0.0,18,61.647677
-4.0,18,61.682057
4.0,19,61.727917
-3.0,18,61.767741
-2.0,18,61.80278
0.0,18,61.839438
-1.0,18,61.878212
-1.0,20,61.920777
1.0,18,61.958249
-2.0,18,61.991685
-1.0,24,62.539247
-2.0,18,62.585835
2.0,19,62.622187
0.0,20,62.668032
-4.0,20,62.708024
-2.0,18,62.749153
0.0,21,62.792826
-5.0,18,62.830414
2.0,18,62.872433
3.0,20,62.908221
3.0,18,62.949534
-4.0,20,62.99388
-6.0,18,63.03295
0.0,22,63.633021
0.0,22,63.681919
1.0,18,63.717901
-3.0,18,63.758921
-1.0,20,63.793256
1.0,20,63.839364
0.0,18,63.881357
1.0,18,63.908445
1.0,19,63.949607
2.0,18,63.99185
-3.0,18,64.028953
-1.0,19,64.069387
3.0,18,64.100117
0.0,20,64.146512
0.0,18,64.692629
4.0,18,64.724385
-4.0,21,64.775154
0.0,19,64.808066
0.0,18,64.849328
4.0,20,64.891039
0.0,20,64.934028
0.0,18,64.972293
-1.0,18,65.008012
4.0,22,65.057984
-4.0,20,65.100241
-5.0,18,65.139276
1.0,18,65.173775
3.0,18,65.697081
1.0,20,65.744203
-2.0,18,65.782811
0.0,21,65.825818
-1.0,18,65.858287
-4.0,18,65.889453
3.0,18,65.932283
4.0,18,65.967963
-2.0,19,66.008155
-4.0,18,66.05073
0.0,21,66.095306
0.0,18,66.132185
-1.0,19,66.17351
-3.0,20,66.211078
0.0,18,66.770938
0.0,20,66.80983
-1.0,18,66.841178
-3.0,18,66.882879
-2.0,19,66.924378
-4.0,18,66.958338
0.0,18,66.999568
4.0,18,67.040296
5.0,18,67.078995
3.0,18,67.116518
-1.0,18,67.152136
4.0,20,67.195905
2.0,18,67.232758
4.0,18,67.268703
0.0,18,67.832253
-4.0,18,67.874227
-2.0,18,67.917767
-3.0,18,67.953023
-2.0,20,67.989088
0.0,18,68.033093
2.0,18,68.073181
-6.0,21,68.117987
-4.0,19,68.157964
2.0,20,68.19554
4.0,24,68.242995
0.0,20,68.289295
3.0,18,68.325575
-3.0,18,68.889326
1.0,18,68.928106
-3.0,18,68.95844
-4.0,18,68.99945
-2.0,18,69.041977
1.0,18,69.080426
2.0,18,69.112625
-4.0,19,69.15706
4.0,18,69.192115
1.0,18,69.230395
-3.0,20,69.272372
1.0,21,69.309279
0.0,18,69.351248
1.0,18,69.391659
5.0,18,69.9762
-1.0,18,70.024587
2.0,21,70.097379
-4.0,18,70.1466
-1.0,18,70.196856
0.0,18,70.239137
2.0,20,70.296281
5.0,18,70.350368
1.0,20,70.414005
-2.0,18,70.468026
4.0,21,70.5223
0.0,18,70.568018
3.0,20,70.619916
-4.0,18,70.673409
-1.0,20,71.317748
-1.0,18,71.358312
0.0,18,71.409666
